id,Hardness
10407,4.752841239
10408,5.351290504
10409,5.385081092
10410,5.401648561
10411,5.419869786
10412,5.30583275
10413,5.338635115
10414,5.404262727
10415,5.226750105
10416,5.351383711
10417,5.392172164
10418,5.456547049
10419,5.412592983
10420,5.413108784
10421,5.297822923
10422,5.327565309
10423,5.381397099
10424,5.336871755
10425,5.376863887
10426,5.41707172
10427,5.20942763
10428,5.265695935
10429,5.333096728
10430,5.422566029
10431,5.229043727
10432,5.368370386
10433,5.418012898
10434,5.362945418
10435,5.372305482
10436,5.40424325
10437,5.358734878
10438,5.402300168
10439,5.417141743
10440,5.257410493
10441,5.203085413
10442,5.261620797
10443,5.121413186
10444,5.407489835
10445,5.334892084
10446,5.252424408
10447,5.414392344
10448,5.440537528
10449,5.336483921
10450,5.370462781
10451,5.305729709
10452,5.458732408
10453,5.44147941
10454,5.401883987
10455,5.272456642
10456,5.191855215
10457,5.042725496
10458,5.477871664
10459,5.161870369
10460,5.39726037
10461,5.375979524
10462,5.393230999
10463,5.41530439
10464,5.426606496
10465,5.271560722
10466,5.30418385
10467,5.414905382
10468,5.104515806
10469,5.3409089
10470,5.370323634
10471,5.430051867
10472,5.123322681
10473,5.37944666
10474,5.440643091
10475,5.402478872
10476,5.351702205
10477,5.419935771
10478,5.456209782
10479,5.45629268
10480,5.15087264
10481,5.295977741
10482,5.403037767
10483,5.386252064
10484,4.87986002
10485,5.403929992
10486,5.364515385
10487,5.19969479
10488,5.372341129
10489,5.312803191
10490,5.422487895
10491,5.366486898
10492,5.441803235
10493,5.178387513
10494,5.261871412
10495,5.348400297
10496,5.318982349
10497,5.375694001
10498,5.364669581
10499,5.413053798
10500,5.350144789
10501,5.18337983
10502,5.445826847
10503,5.365748153
10504,5.402752474
10505,5.357036408
10506,5.18538262
10507,5.402707441
10508,5.281001917
10509,5.198416731
10510,5.391474547
10511,5.308800874
10512,5.322174137
10513,5.355207719
10514,5.282196043
10515,4.680747564
10516,5.456509876
10517,5.441592894
10518,5.375144762
10519,5.324448919
10520,5.386340297
10521,5.362129406
10522,5.350953745
10523,5.310285866
10524,5.260267017
10525,5.324532543
10526,5.139437932
10527,5.378414172
10528,5.37074434
10529,5.398433699
10530,5.1535325
10531,5.413300655
10532,5.126143857
10533,5.406056923
10534,5.446838276
10535,5.416369947
10536,5.368931034
10537,5.455973331
10538,5.420636432
10539,5.377932079
10540,5.273631349
10541,5.191080778
10542,5.365608587
10543,5.283797035
10544,5.403949892
10545,5.298986784
10546,5.364556738
10547,5.373625618
10548,5.401164488
10549,5.30480313
10550,5.210840121
10551,5.336208178
10552,5.376358995
10553,5.44643353
10554,5.391877012
10555,5.352715894
10556,5.371060314
10557,5.340704107
10558,5.402369262
10559,5.15979079
10560,5.465681871
10561,5.41274191
10562,5.381563747
10563,5.445330461
10564,5.453208008
10565,5.402351021
10566,5.366095114
10567,5.347925189
10568,5.242508417
10569,5.430612996
10570,5.346119054
10571,5.399659762
10572,5.38199802
10573,5.320400664
10574,5.407094364
10575,5.365436227
10576,5.250250546
10577,5.513837104
10578,5.39460294
10579,5.384229515
10580,5.342187523
10581,5.400646651
10582,5.302963508
10583,5.136864492
10584,5.411831223
10585,5.107957936
10586,5.444765969
10587,5.433371078
10588,5.342056586
10589,5.377669132
10590,5.322464465
