,id,Hardness
0,10407,3.5
1,10408,2.5
2,10409,7.8
3,10410,4.3
4,10411,9.0
5,10412,5.5
6,10413,3.0
7,10414,2.5
8,10415,2.0
9,10416,6.0
10,10417,4.0
11,10418,10.0
12,10419,6.0
13,10420,10.0
14,10421,6.8
15,10422,5.5
16,10423,3.8
17,10424,6.0
18,10425,6.0
19,10426,2.0
20,10427,2.5
21,10428,6.5
22,10429,6.8
23,10430,3.3
24,10431,2.5
25,10432,6.0
26,10433,2.5
27,10434,2.3
28,10435,6.0
29,10436,6.0
30,10437,6.5
31,10438,6.8
32,10439,5.5
33,10440,3.5
34,10441,2.5
35,10442,6.5
36,10443,1.5
37,10444,10.0
38,10445,6.0
39,10446,2.5
40,10447,6.0
41,10448,2.3
42,10449,6.0
43,10450,6.0
44,10451,6.0
45,10452,2.3
46,10453,2.5
47,10454,5.8
48,10455,2.0
49,10456,3.5
50,10457,2.0
51,10458,10.0
52,10459,5.8
53,10460,5.8
54,10461,6.0
55,10462,6.5
56,10463,3.8
57,10464,3.8
58,10465,6.5
59,10466,5.5
60,10467,6.0
61,10468,3.0
62,10469,5.5
63,10470,4.0
64,10471,2.0
65,10472,2.5
66,10473,6.0
67,10474,2.0
68,10475,10.0
69,10476,3.7999999999999994
70,10477,6.0
71,10478,10.0
72,10479,10.0
73,10480,4.0
74,10481,4.8
75,10482,6.0
76,10483,6.0
77,10484,1.3
78,10485,3.3
79,10486,2.8
80,10487,2.5
81,10488,5.8
82,10489,5.5
83,10490,5.0
84,10491,6.0
85,10492,7.0
86,10493,2.3
87,10494,2.5
88,10495,6.0
89,10496,4.5
90,10497,6.0
91,10498,3.8
92,10499,10.0
93,10500,5.3
94,10501,2.8
95,10502,9.5
96,10503,6.8
97,10504,6.0
98,10505,2.0
99,10506,2.8
100,10507,6.0
101,10508,2.5
102,10509,1.8
103,10510,4.0
104,10511,2.0
105,10512,4.3
106,10513,6.8
107,10514,5.5
108,10515,2.5
109,10516,10.0
110,10517,2.5
111,10518,3.5
112,10519,6.0
113,10520,5.5
114,10521,2.5
115,10522,2.8
116,10523,6.0
117,10524,2.0
118,10525,3.8
119,10526,2.5
120,10527,4.0
121,10528,6.5
122,10529,5.5
123,10530,2.0
124,10531,3.8
125,10532,6.5
126,10533,2.5
127,10534,7.0
128,10535,5.5
129,10536,5.5
130,10537,10.0
131,10538,6.3
132,10539,6.0
133,10540,2.8
134,10541,3.0
135,10542,6.0
136,10543,6.8
137,10544,5.5
138,10545,2.8
139,10546,6.0
140,10547,5.5
141,10548,3.3
142,10549,5.0
143,10550,6.0
144,10551,10.0
145,10552,2.0
146,10553,6.0
147,10554,4.0
148,10555,2.5
149,10556,5.5
150,10557,10.0
151,10558,5.0
152,10559,4.3
153,10560,2.5
154,10561,10.0
155,10562,5.5
156,10563,2.5
157,10564,2.3
158,10565,2.5
159,10566,2.3
160,10567,3.5
161,10568,2.3
162,10569,5.3
163,10570,5.0
164,10571,6.0
165,10572,6.5
166,10573,3.8
167,10574,2.5
168,10575,2.8
169,10576,1.8000000000000005
170,10577,1.5
171,10578,6.5
172,10579,10.0
173,10580,2.3
174,10581,5.5
175,10582,3.3
176,10583,2.8
177,10584,10.0
178,10585,3.5
179,10586,2.5
180,10587,6.5
181,10588,3.8
182,10589,6.0
183,10590,3.8
184,10591,10.0
185,10592,2.5
186,10593,6.0
187,10594,10.0
188,10595,7.5
189,10596,5.0
190,10597,10.0
191,10598,2.3
192,10599,1.8
193,10600,3.5
194,10601,6.8
195,10602,4.8
196,10603,2.0
197,10604,4.0
198,10605,1.5
199,10606,2.8
200,10607,10.0
201,10608,6.8
202,10609,10.0
203,10610,10.0
204,10611,2.0
205,10612,6.3
206,10613,2.0
207,10614,6.0
208,10615,6.0
209,10616,9.0
210,10617,5.5
211,10618,2.0
212,10619,6.0
213,10620,6.8
214,10621,4.0
215,10622,3.8
216,10623,6.0
217,10624,2.8
218,10625,6.0
219,10626,2.3
220,10627,2.0
221,10628,6.3
222,10629,5.5
223,10630,1.5
224,10631,2.8
225,10632,10.0
226,10633,3.5
227,10634,3.8
228,10635,4.0
229,10636,6.0
230,10637,10.0
231,10638,1.8
232,10639,2.0
233,10640,6.0
234,10641,2.0
235,10642,1.5
236,10643,1.5
237,10644,2.5
238,10645,6.0
239,10646,1.8
240,10647,6.0
241,10648,6.8
242,10649,2.0
243,10650,3.8000000000000003
244,10651,5.8
245,10652,6.0
246,10653,6.5
247,10654,3.0
248,10655,3.8
249,10656,5.5
250,10657,10.0
251,10658,5.5
252,10659,6.0
253,10660,3.8000000000000003
254,10661,6.0
255,10662,2.5
256,10663,7.5
257,10664,3.3
258,10665,5.0
259,10666,6.0
260,10667,6.0
261,10668,10.0
262,10669,5.8
263,10670,2.5
264,10671,10.0
265,10672,2.5
266,10673,6.0
267,10674,5.5
268,10675,4.3
269,10676,2.0
270,10677,5.5
271,10678,5.8
272,10679,2.5
273,10680,5.5
274,10681,2.5
275,10682,2.5
276,10683,6.3
277,10684,3.0
278,10685,6.8
279,10686,2.0
280,10687,6.8
281,10688,10.0
282,10689,6.0
283,10690,4.3
284,10691,5.5
285,10692,5.3
286,10693,6.5
287,10694,6.8
288,10695,5.8
289,10696,10.0
290,10697,6.3
291,10698,3.8
292,10699,1.3
293,10700,5.0
294,10701,6.5
295,10702,4.0
296,10703,7.8
297,10704,3.5
