,id,Hardness
0,10407,4.909999999999998
1,10408,3.164999999999999
2,10409,5.9
3,10410,4.415
4,10411,5.829999999999999
5,10412,4.4399999999999995
6,10413,4.784999999999999
7,10414,5.76
8,10415,3.289999999999999
9,10416,4.929999999999999
10,10417,3.0699999999999994
11,10418,4.204999999999999
12,10419,6.515000000000001
13,10420,3.6350000000000002
14,10421,5.495
15,10422,5.3149999999999995
16,10423,5.334999999999999
17,10424,5.0874999999999995
18,10425,6.202
19,10426,3.9199999999999995
20,10427,5.374999999999999
21,10428,4.8149999999999995
22,10429,5.0249999999999995
23,10430,3.69
24,10431,3.794999999999999
25,10432,6.755
26,10433,5.305
27,10434,6.31
28,10435,6.525
29,10436,6.51
30,10437,6.0649999999999995
31,10438,6.76
32,10439,6.0969999999999995
33,10440,3.754999999999999
34,10441,2.5549999999999997
35,10442,3.624999999999999
36,10443,4.52
37,10444,3.689999999999999
38,10445,7.0200000000000005
39,10446,3.3850000000000002
40,10447,5.609999999999999
41,10448,5.6949999999999985
42,10449,5.58
43,10450,6.165
44,10451,5.31
45,10452,3.2199999999999998
46,10453,6.069999999999999
47,10454,4.76
48,10455,4.809999999999999
49,10456,4.909999999999998
50,10457,4.909999999999998
51,10458,8.825
52,10459,5.947
53,10460,3.5549999999999997
54,10461,6.255
55,10462,5.334999999999999
56,10463,6.375
57,10464,5.229999999999999
58,10465,4.909999999999998
59,10466,6.51
60,10467,6.415000000000001
61,10468,5.084999999999999
62,10469,6.09
63,10470,6.196999999999999
64,10471,6.145
65,10472,4.459999999999999
66,10473,6.39
67,10474,3.5824999999999996
68,10475,6.325
69,10476,3.6449999999999996
70,10477,6.305
71,10478,4.279999999999999
72,10479,4.404999999999999
73,10480,3.495
74,10481,3.8249999999999993
75,10482,6.525
76,10483,5.8999999999999995
77,10484,3.089999999999999
78,10485,4.01
79,10486,1.6949999999999998
80,10487,4.909999999999998
81,10488,6.045
82,10489,3.8599999999999994
83,10490,4.075
84,10491,5.515
85,10492,6.205
86,10493,4.8599999999999985
87,10494,3.444999999999999
88,10495,4.279999999999999
89,10496,3.8199999999999994
90,10497,5.31
91,10498,6.419999999999999
92,10499,6.055
93,10500,3.6
94,10501,5.084999999999999
95,10502,7.367
96,10503,6.289999999999998
97,10504,6.3549999999999995
98,10505,2.8599999999999994
99,10506,4.084999999999999
100,10507,6.669999999999999
101,10508,2.3249999999999997
102,10509,4.909999999999998
103,10510,4.505
104,10511,2.485
105,10512,6.255
106,10513,5.81
107,10514,3.8449999999999998
108,10515,4.909999999999998
109,10516,3.599999999999999
110,10517,5.049999999999999
111,10518,5.305
112,10519,6.324999999999999
113,10520,5.9719999999999995
114,10521,3.9699999999999998
115,10522,5.759999999999999
116,10523,4.889999999999999
117,10524,3.3199999999999994
118,10525,3.9349999999999996
119,10526,4.909999999999998
120,10527,6.3549999999999995
121,10528,6.34
122,10529,4.885
123,10530,4.874999999999998
124,10531,4.749999999999999
125,10532,5.5649999999999995
126,10533,6.332
127,10534,6.83
128,10535,6.226999999999999
129,10536,5.74
130,10537,5.9319999999999995
131,10538,5.385
132,10539,6.5699999999999985
133,10540,4.654999999999999
134,10541,4.909999999999998
135,10542,5.104999999999999
136,10543,6.215
137,10544,4.345
138,10545,4.505
139,10546,6.045
140,10547,6.422
141,10548,5.232
142,10549,5.9399999999999995
143,10550,6.209999999999999
144,10551,3.7299999999999995
145,10552,6.494999999999999
146,10553,4.56
147,10554,4.265
148,10555,3.2399999999999993
149,10556,5.045
