,Hardness
0,3.4605697605735313
1,4.819538146446854
2,5.26714685825243
3,5.259226224470362
4,5.078319418927366
5,4.623749973922338
6,4.3677129305799145
7,5.552485274067074
8,4.341261856947693
9,4.511632372549432
10,4.24363789768133
11,4.453275363623346
12,5.374140948704766
13,4.4716085824761365
14,5.226328313020088
15,4.848192525046776
16,5.270503650631557
17,4.983739257721246
18,5.0776568861478495
19,4.967473887213073
20,3.4319098370648486
21,4.971701386966265
22,4.8133296863551145
23,3.857625300715639
24,3.835713335902508
25,4.960108770368834
26,5.751090836861515
27,4.679389371858976
28,5.412354309042629
29,5.181923186523602
30,5.33909940640334
31,5.33879043300157
32,5.331092417123266
33,4.349568728485201
34,3.9959952275020973
35,3.8487044126290746
36,2.132068173324388
37,4.621338376911041
38,4.90832167610926
39,4.238634151166556
40,5.297300058937134
41,5.240679530563246
42,5.110397187025892
43,5.245552751869647
44,4.888457766359423
45,4.259567779373673
46,5.3650621965776715
47,5.35203882319871
48,3.4052910143873927
49,3.6411833273633314
50,2.552990573814238
51,5.405065183466631
52,4.872111715675825
53,4.290946774905658
54,5.1453798375527775
55,5.150632318665817
56,5.374261424689265
57,5.32572473365089
58,4.059695583257862
59,5.160566393904935
60,5.386854543421688
61,2.328013584330198
62,5.237146967786282
63,4.547421203892033
64,5.3091690477329365
65,1.358333488191089
66,5.194234093598289
67,4.823818071577572
68,5.317159542975759
69,4.670489058013045
70,5.297833355069441
71,4.605003605800517
72,4.454280538138641
73,4.180200539304999
74,3.9588012758501563
75,5.215592494394409
76,5.256901104790689
77,1.2256668025361974
78,4.290561042022466
79,5.078732604856415
80,2.8030088588877264
81,5.106322211199101
82,4.263123069400966
83,5.035630691843544
84,5.043494693945907
85,5.479191880786329
86,2.661002346295657
87,4.370619965548872
88,4.150586120473109
89,4.335243834141869
90,5.125455377648377
91,5.0300053764562325
92,5.291012373560015
93,4.626408568538416
94,2.5862333777548083
95,5.186412038212369
96,4.715649010316778
97,5.213237357128974
98,4.839970861412558
99,4.087403779967643
100,5.388947443357489
101,4.411373993166143
102,3.5801565226398235
103,4.451160532804002
104,4.217440825543894
105,5.17597400990638
106,5.604921688130221
107,4.113510721942383
108,2.4915668000986706
109,4.644186527371776
110,5.459546943770049
111,4.778427349918488
112,5.2220462109680685
113,4.844344577701172
114,5.079972221853357
115,4.813707183528545
116,4.592986060010125
117,4.175889431447937
118,4.663565298481499
119,3.185308346400532
120,4.929001446357956
121,5.149157236118388
122,4.809360223193415
123,2.3792543252585974
124,5.29268456253306
125,5.227623317790917
126,4.932950024571311
127,5.368778106927941
128,5.272298768371693
129,5.339316636250659
130,4.817840011013644
131,5.332521009578292
132,5.114092046859434
133,3.464603128636285
134,2.9092065608236317
135,3.8963096749092685
136,4.709801025904751
137,5.339880776708608
138,4.658800030059857
139,4.950891268595226
140,5.218816911544082
141,4.743977584570043
142,4.465983614346163
143,4.6659182041654885
144,4.8419387351500545
145,5.22814207486247
146,5.358373737561999
147,4.541029775382235
148,4.824365498685177
149,4.724282025423058
150,5.35760245436264
151,4.898580239567292
152,4.022642982791439
153,3.7760908890869582
154,5.092807393788707
155,5.219449287623418
156,3.81325789120442
157,4.062068021588029
158,5.438048441554546
159,4.09772407749883
160,4.511682413652535
161,4.145378099496079
162,5.329457823240401
163,4.766805069934049
164,5.018739355781288
165,5.102016842537232
166,4.7329420911899565
167,3.4902634436484554
168,5.314090998514311
169,3.9944998526578406
170,3.14722043216835
171,5.157293318888106
172,5.268549133729923
173,4.013942219231625
174,5.223649256217655
175,4.15023077433621
176,3.4890894644489827
177,5.369084502178241
178,2.2540931592641256
179,5.313022499425797
180,5.4414250616078235
181,4.25974542055424
182,5.493363686755607
183,4.004721861000275
184,5.219532154564401
185,4.543228638944912
186,4.805115655979118
187,5.3054389406192985
188,5.242564034889092
189,4.432581955364606
190,5.348761150100671
191,4.969325487750309
192,5.061688026329877
193,3.624588707559029
194,4.55973308821957
195,3.3159023509150654
196,4.93235201617674
197,5.061235864665466
198,5.311040810971119
199,3.1794580961223557
200,5.195209330919919
201,4.931457782475517
202,5.416941710980794
203,5.195935998519635
204,4.755456167438777
205,4.99631543372525
206,5.127333609241534
207,4.948265430014928
208,5.259283785128044
209,5.268501859416127
210,5.287879629446556
211,2.2665263327812237
212,5.341003678709503
213,4.998008619198514
214,4.4504589302027355
215,4.5717710672340335
216,5.321991982740494
217,4.8276884296960585
218,5.257095753195521
219,5.575537917556244
220,5.034814997403332
221,5.186550849404742
222,5.414326077829346
223,3.122150788058425
224,5.457177705848405
225,5.349520489459648
226,2.5191015041533733
227,4.708945585758052
228,4.583275310275594
229,5.240619636716392
230,3.951384763562715
231,2.1961002242166776
232,5.221060085509436
233,5.2731100299293825
234,4.89752449556945
235,3.7980602453215226
236,3.211442508830204
237,4.340582344659902
238,5.057198899156764
239,4.331095071494996
240,5.093353209341447
241,5.007296206054302
242,4.84954785176353
243,3.9285472752711637
244,4.615229544273067
245,5.3791324048654765
246,5.139331854871848
247,4.029960034360997
248,4.764233164885552
249,5.064506017826097
250,4.2366922275655705
251,5.153324892994174
252,5.29192192910004
253,3.9098130685741586
254,5.206273943912994
255,4.222871839554675
256,5.2996394557871245
257,4.1436744460383945
258,5.303243270744307
259,5.23495260263243
260,5.259288391866882
261,5.296416999524736
262,4.351708674324806
263,4.542308122866368
264,5.339171463639633
265,2.2428334280350395
266,4.187086552091105
267,5.53104417958537
268,5.13566427600764
269,3.310524976292007
270,2.5356697748324786
271,4.011649711098587
272,3.6233885148663743
273,5.240239743381011
274,4.4472606413105815
275,4.50994450334277
276,4.3649258424422674
277,3.149489599840683
278,5.173047907795166
279,5.74598194163955
280,4.833882238705252
281,5.364106643476374
282,4.460162396114217
283,5.264184516646431
284,5.016082729072351
285,4.736005675725139
286,5.260573072101396
287,5.127946490006488
288,4.430786690697188
289,5.1601057070581255
290,4.857584650559808
291,4.704009425926558
292,1.313824994714904
293,4.82376092757089
294,5.0543974848680016
295,5.340651442061808
296,5.187972343697952
297,2.487313530124097
298,4.885825531394207
299,5.450725677020877
300,5.106540554883329
301,4.050526964220923
302,3.5031334924662363
303,4.258016050867125
304,4.651512114810126
305,5.378003197157666
306,2.2980512972184814
307,1.1656737491793079
308,4.8737258868469375
309,5.090328114389111
310,5.452051704950092
311,5.139185306988903
312,5.214015513703519
313,5.200822874545912
314,4.984118083063137
315,2.370109617510174
316,3.6049351588560663
317,5.471915045640674
318,3.178226204961398
319,2.6021440677235588
320,5.1189030124441395
321,3.896003201530701
322,5.9320216221792155
323,5.242353342911836
324,4.785288482043741
325,3.3635968962315763
326,3.1207386024330157
327,5.174441035577763
328,5.068471062034181
329,5.2201718353294
330,4.656076742454875
331,5.500732568492067
332,3.4477743803871608
333,2.976307951266893
334,4.8068219981888625
335,4.087009397727617
336,4.361480997299821
337,4.2180351376695
338,5.1572665170789715
339,4.997427035036091
340,3.897943297556024
341,5.382706281239306
342,4.569679161647095
343,4.564872567804711
344,5.067448886556048
345,4.448126284307898
346,4.756039338168145
347,5.31284472325143
348,5.313759623629936
349,4.408709839182505
350,3.9219492296983
351,4.924558738405515
352,4.398178176625052
353,5.4169806379708465
354,5.131434491350689
355,5.265290369369522
356,5.08408635057849
357,5.13127558837512
358,3.454830972157346
359,5.254435014338448
360,4.4032660942139845
361,5.17677006474354
362,4.977348565677712
363,5.158315225704647
364,1.8815862892933914
365,5.461182589469818
366,3.7295343180434513
367,4.560334320594107
368,4.98209473003913
